event_id,Source,Classification code,Date reported (from filename),Impact start date,Impact end date,Extracted impact description,Places affected,SP_NAME,MP_NAME,Metropolitan/District area,Direct quote,Source document full name (on CASCADE G-DRIVE),Link to the online source,Publication title,Reviewer initials,Impact date verified,Place name verified,Notes (if issues identified),ValidationSheet,year,impact_category_label,sp_norm,mp_norm,mn_norm
EVT-00001,SAWS,1.1,2010-06-01,2010-06-14,,Heavy rain caused flooding across multiple informal settlement areas.,Makhaza,,Khayelitsha,City of Cape Town,"""The residents of Makhaza, Khayelitsha in the Western Cape were affected by heavy rain that caused flooding in a number of informal settlements on the 14th.""",20100601_SAWS_Makhaza_Informa_Settlements_Flooding.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30364,,,,,,SAWSValidation,2010,Minor inundation / flooding reported,,khayelitsha,city of cape town
EVT-00002,SAWS,4.2,2010-06-01,2010-06-14,,Residents of informal settlements were affected by heavy rain and flooding.,Makhaza,,Khayelitsha,City of Cape Town,"""The residents of Makhaza, Khayelitsha in the Western Cape were affected by heavy rain that caused flooding in a number of informal settlements on the 14th.""",20100601_SAWS_Makhaza_Informa_Settlements_Flooding.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30364,,,,,,SAWSValidation,2010,People/residents affected,,khayelitsha,city of cape town
EVT-00003,SAWS,1.3,2010-07-01,2010-07-10,,Heavy rain water-logged shacks in several areas.,Cape Flats,,Cape Flats,City of Cape Town,"""Five hundred residents of informal settlements were affected after heavy rain water-logged about 200 shacks in Kanana, Gugulethu and the Cape Flats on the 10th.""",20100701_SAWS_Kanana_Gugulethu_CapeFlats.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30374,,,,,,SAWSValidation,2010,Buildings/homes/roads flooded or damaged,,cape flats,city of cape town
EVT-00004,SAWS,1.3,2010-07-01,2010-07-10,,Heavy rain water-logged shacks in several areas.,Kanana,Kanana,Gugulethu,City of Cape Town,"""Five hundred residents of informal settlements were affected after heavy rain water-logged about 200 shacks in Kanana, Gugulethu and the Cape Flats on the 10th.""",20100701_SAWS_Kanana_Gugulethu_CapeFlats.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30374,,,,,,SAWSValidation,2010,Buildings/homes/roads flooded or damaged,kanana,gugulethu,city of cape town
EVT-00005,SAWS,4.2,2010-07-01,2010-07-10,,Five hundred residents were affected when their shacks became water-logged.,Cape Flats,,Cape Flats,City of Cape Town,"""Five hundred residents of informal settlements were affected after heavy rain water-logged about 200 shacks in Kanana, Gugulethu and the Cape Flats on the 10th.""",20100701_SAWS_Kanana_Gugulethu_CapeFlats.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30374,,,,,,SAWSValidation,2010,People/residents affected,,cape flats,city of cape town
EVT-00006,SAWS,4.2,2010-07-01,2010-07-10,,Five hundred residents were affected when their shacks became water-logged.,Kanana,Kanana,Gugulethu,City of Cape Town,"""Five hundred residents of informal settlements were affected after heavy rain water-logged about 200 shacks in Kanana, Gugulethu and the Cape Flats on the 10th.""",20100701_SAWS_Kanana_Gugulethu_CapeFlats.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30374,,,,,,SAWSValidation,2010,People/residents affected,kanana,gugulethu,city of cape town
EVT-00007,SAWS,1.3,2011-06-01,2011-06-08,,Multiple major roads and mountain passes closed and not passable due to flooding.,Ashton,,,Cape Winelands,"""Several roads and at least four passes were closed, including the Garcia's Pass between Riversdal and Ladismith, the Robertson Pass, Swartberg Pass and Montagu pass, as well as the road between Ashton and Montagu.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,Buildings/homes/roads flooded or damaged,,,cape winelands
EVT-00008,SAWS,1.3,2011-06-01,2011-06-08,,Multiple major roads and mountain passes closed and not passable due to flooding.,Garcia's Pass,,,Garden Route,"""Several roads and at least four passes were closed, including the Garcia's Pass between Riversdal and Ladismith, the Robertson Pass, Swartberg Pass and Montagu pass, as well as the road between Ashton and Montagu.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,Buildings/homes/roads flooded or damaged,,,garden route
EVT-00009,SAWS,1.3,2011-06-01,2011-06-08,,Roads were submerged and motorists were unable to reach schools.,George,,,Garden Route,"""Roads were submerged, houses flooded, schools closed and people evacuated from formal as well as informal housing... In the Western Cape 41 schools were closed temporarily due to the severe weather conditions while another 35 schools were disrupted when both teachers and learners could not reach the schools following the flooding of roads and bridges.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,Buildings/homes/roads flooded or damaged,,,garden route
EVT-00010,SAWS,1.3,2011-06-01,2011-06-08,,Roads were submerged and motorists were unable to reach schools.,Knysna,,,Garden Route,"""Roads were submerged, houses flooded, schools closed and people evacuated from formal as well as informal housing... In the Western Cape 41 schools were closed temporarily due to the severe weather conditions while another 35 schools were disrupted when both teachers and learners could not reach the schools following the flooding of roads and bridges.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,Buildings/homes/roads flooded or damaged,,,garden route
